motif_name	AmnSINE1	Bov-tA1	Bov-tA2	Bov-tA3	HAL1	L2b	L3	LTR33A_	MER102b	MER21C	MER77B	MER81	MER89	MIR3	MLT1N2	Plat_L3	SINE2-1_BT	Tigger7
FOXO6	0	1.6e-002	1.3e-015	2.1e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP1	0	1.5e-009	8.0e-035	1.5e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP2	0	6.6e-016	5.3e-059	2.4e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP3	0	2.5e-019	1.7e-094	1.6e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxq1	0	6.3e-013	1.3e-062	1.0e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABPA	0	2.0e-311	9.5e-1037	5.5e-309	2.5e-007	4.1e-009	5.3e-002	0	0	0	0	0	0	1.3e-003	0	0	0	0
GATA1	0	2.3e-026	3.2e-088	1.1e-020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA1::TAL1	0	0	7.7e-016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA2	0	5.8e-012	3.7e-074	3.5e-024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA3	0	1.4e-023	2.0e-074	8.5e-019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA4	0	2.2e-004	7.0e-033	2.7e-019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA5	0	1.7e-013	2.0e-049	9.9e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA6	0	1.3e-017	6.7e-082	2.5e-027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBX1	0	1.0e-023	3.2e-056	4.9e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBX2	0	5.5e-026	1.5e-069	2.0e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCM1	0	3.2e-024	1.2e-018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCM2	0	4.7e-041	2.6e-055	6.8e-024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFI1	0	5.5e-003	2.2e-024	8.0e-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gfi1b	0	4.7e-003	5.8e-016	1.0e-005	0	0	0	0	0	0	0	0	0	0	0	0	7.4e-031	0
GLI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLI3	0	0	4.0e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLIS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLIS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2e-001	0
GLIS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gmeb1	0	1.0e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMEB2	0	2.1e-001	6.5e-023	3.3e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRHL1	0	0	1.3e-013	2.8e-006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRHL2	0	0	9.1e-002	1.0e-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSC	0	2.3e-003	2.0e-016	3.9e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
